Id,PublisherId,PublisherName,Status,InstagramHandle,TikTokHandle
12531386,10011285915,◈◈  KATHY REISS ◈◈,Active,kaysavoir,
12531444,10011285975,Anel  ☝🏼,Active,anel_alvara,
12531410,10011285939,EBOW,Active,,
12531291,10011285818,Jayo,Active,jayo513,
12531356,10011285883,teesytones,Active,teesytones,
12531317,10011285844,Berlin  Metal TV,Active,,
12531364,10011285891,katekaputto,Active,,
12531362,10011285889,payy,Active,payy,
12531416,10011285945,Belen  Kleinow,Active,belencita5,
12531388,10011285917,Max  Mutzke,Active,max_mutzke_official,
12531370,10011285897,AutoCenter  Meschede GmbH,Active,autocentermeschede,
12531369,10011285896,Radical  Racing,Active,radicalracing_official,
12531395,10011285924,Team  Krieghoff - Hunting,Active,teamkrieghoff,
12531383,10011285912,LANDWIRTSCHAFTLICHE  BILDER©,Active,photography_by_jannik,
12531428,10011285958,Franziska  Katzmarek,Active,,
12531330,10011285857,DJ  STYLEWARZ,Active,stylewarz,
12531294,10011285821,MEIDI,Active,esismeidi,
12531301,10011285828,dusy,Active,dusydon,
12531359,10011285886,flytoptier,Active,flytoptier,
12531399,10011285928,Desireé   Sewing & DIY,Active,twoandahalfseams,
12531420,10011285949,Natia,Active,natia.303,
12531396,10011285925,A  L I N A   L I S S,Active,alinschkii,
12531436,10011285967,Ronja,Active,ronj.as,
12531322,10011285849,Jeyz,Active,jeyz_offiziell,
12531441,10011285972,LEONIDEN,Active,leonidenleonidenleoniden,
12531338,10011285865,SenadHasaniTV,Active,iamsenadhasani,
12531376,10011285905,NOISETIME®,Active,,
12531403,10011285932,Fussball   News & Memes,Active,fussballflamme,
12531387,10011285916,IBO44  🔹,Active,ibo.music1,
12531438,10011285969,ANTIFUCHS,Active,antifuchsofficial,
12531434,10011285964,ZSK  Official,Active,zskberlin,
12531418,10011285947,Marie  Bothmer,Active,mariebothmer,
12531414,10011285943,KLAN,Active,klanmusik,
12531342,10011285869,CE$,Active,ces_ilguapo,
12531404,10011285933,RPT  GANG 6/6 ↗️,Active,rpt_gang,
12531337,10011285864,JUBINCHANNEL,Active,jvbin,
12531425,10011285955,KOÇAN  ♛,Active,kocan__,
12531393,10011285922,marleen.sii,Active,marlysi_art,
12531307,10011285834,Big  Guap,Active,guapolou,
12531429,10011285959,UNSERDING,Active,srdings,
12531373,10011285900,Luzifer,Active,luzirockstar,
12531378,10011285907,BADBOY,Active,,
12531385,10011285914,Smaragd,Active,smaragd_jadn,
12531367,10011285894,THEPAK,Active,thepak_official,
12531357,10011285884,aytee8,Active,aytee8,
12531353,10011285880,K  A T E // R E V E L L E,Active,revelle,
12531358,10011285885,sonic_35,Active,sonic_35,
12531298,10011285825,‎اوزان,Active,ozanartkn,
12531417,10011285946,Dieter  Thomas Kuhn & Band,Active,dtkundband,
12531352,10011285879,Luca  Vasta,Active,lucavasta_official,
12531422,10011285952,Tina  Paffen,Active,,
12531401,10011285930,Nedal  Nib,Active,nedal.change.it,
12531296,10011285823,Amewu,Active,amewu,
12531407,10011285936,Niedecken,Active,niedeckensbap,
12531394,10011285923,Cars   Tuning  Audi,Active,xtratuning,
12531446,10011285977,jagen.nrw_official,Active,jagen.nrw_official,
12531405,10011285934,Radio  Havanna,Active,radiohavanna,
12531445,10011285976,INA  REGEN,Active,inaregenmusik,
12531447,10011285978,BEKA,Active,beka_offiziell,
12531380,10011285909,M.O.030,Active,m.o.030,
12531361,10011285888,natiatoduaofficial,Active,natiatoduaofficial,
12531343,10011285870,Maximilian  Schmidt,Active,fruchtmax,
12531427,10011285957,Freez  Privat,Active,freez_munich,
12531333,10011285860,Julian  Mathieu,Active,julian_mathieu_,
12531319,10011285846,Gasolin1,Active,,
12531306,10011285833,Martin,Active,chapter_124,
12531423,10011285953,LEONARD,Active,leonardajz,
12531365,10011285892,iamskizz,Active,iamskizz,
12531355,10011285882,honor_de,Active,honor_de,
12531440,10011285971,Peak  Performance Products,Active,peakperformanceproducts,
12531349,10011285876,niboo,Active,,
12531314,10011285841,FussballBoys,Active,,
12531324,10011285851,ClaKing,Active,,
12531421,10011285951,Komedie  & Lustigsten Bilder,Active,deutschrapindustrie,
12531293,10011285820,Pie  Kei,Active,piekei_,
12531316,10011285843,CARSONMODELSPORT,Active,,
12531299,10011285826,KINGKAAN,Active,,
12531318,10011285845,Nico  Suave,Active,,
12531339,10011285866,schnellerschlau,Active,,
12531340,10011285867,Eifel  Agrarvideos,Active,,
12531312,10011285839,Automatikk,Active,,
12531290,10011285817,I  Am Issa,Active,,
12531442,10011285973,juse_ju,Active,,
12531323,10011285850,Berlin  Classics,Active,,
12531368,10011285895,Die  Hamburger Goldkehlchen,Active,,
12531300,10011285827,cukur._.farsi,Active,,
12531326,10011285853,Jade  Saal Luxury Events,Active,,
12531331,10011285858,Chris,Active,,
12531419,10011285948,Live  Nation GSA,Active,,
12531345,10011285872,Patrick  Niedermayer,Active,,
12531346,10011285873,laph  Starz,Active,,
12531413,10011285942,LAURENT,Active,laurentnoichl,
12531341,10011285868,Kinderlieder,Active,,
12531347,10011285874,Onlyy,Active,,
12533631,10011288612,Krys Molina | Home Design & DIY,Active,ourkindredhome,
12538386,10011291663,Sarah DuBois,Active,ellis_cottage,ellis.cottage
12548343,10011300235,caitlinzintl,Active,caitlinzintl,caitlinzintl
12556314,10011308510,Marie-Anne Kirk,Active,kirk_family_in_warp_drive,
12557504,10011309662,Alexis Combs,Active,lexi.diy,
12557505,10011309663,lexi.diy,Active,,lexi.diy
12557522,10011309674,Emeline Chang,Active,emeline.chang,emelinechang
12566447,10011317777,Catharine Fasoldt,Active,cat.fasoldt,catfasoldt
12566520,10011317834,Jacob Petersen,Active,_jacobpetersen_,jacobpetersen_
12569837,10011318790,Danielle Penman,Active,brothersandmother,brothersandmother
12570420,10011318951,Bree | Sports Mom Life & Sideline Hacks,Active,breedandy,breedandyy
12571349,10011319228,Trinity Shi,Active,cubehousejungle,cubehousejungle
12571431,10011319308,Teresa Fox │ Ariva & Co.,Active,teresafoxhome,
12571492,10011319356,Shubhra Ramineni,Active,spicegirlkitchen,
12571746,10011319402,Katerina and Yinon Horwitz,Active,katerinastavreva,
12572091,10011319456,𝐌𝐚𝐲 𝐋𝐢𝐮,Active,themayliu,
12573761,10011320433,Allyson Berger,Active,allysonberger,allyson.berger
12573895,10011320564,Susanne  Bramer,Active,ikarusdoodle,ikarusdoodle
12574279,10011320951,turtletimeasmr,Active,turtletimeasmr,turtletimeasmr
12574483,10011321157,c h e l s e a  c u m i f o r d,Active,houseofheron,
12574501,10011321175,Gurbetci  Anne Aynur  💫,Active,its.aylife,
12576258,10011322373,Kim Oodi,Active,thekimoodicrew,thekimoodicrew
12576461,10011322586,Liz Pacini,Active,lizpacini,lizpacini
12576876,10011322884,Thomas  Klotz,Active,thomas.klotz,
12603076,10011356806,Maria  Castielle,Active,mariacastielle,
12604670,10011358404,Morla Masters,Active,mastermyhome,
12604682,10011358412,Iesha V. aka Lesh | Philly Lifestyle & Travel Creator,Active,livinglesh,livinglesh
12605524,10011358747,Swati Sachdeva 🧿,Active,travelloop_swati,
12633653,10011387106,Taylor Follett | DIY & design addict,Active,thetaylorstyle_,
12634134,10011387593,💖 LIZZ KIM 💖,Active,lizzkimkim,lizzkimkim
12634570,10011388017,Kelly King,Active,henrylanedesign1,
12635548,10011388517,Haile Cloutier,Active,_hailenicole,_hailenicole
12644913,10011397422,🎀Jessy  | 29 | Mum | Bloggerin🎀,Active,dailyjessy,
12644914,10011397423,🎀Jessy  | 29 | Mum | Bloggerin🎀,Active,dailyjessy,
12644939,10011397425,Marion  Schouten,Active,flowersbyschouten,
12645801,10011398338,Sal Amezcua,Active,kickstradomis,kickstradomis
12648843,10011401637,Victoria Lambert,Active,victoriaxlambert,victoriaxlambert
12652114,10011403742,kochenmitmelodie,Active,einfachmelodie,
12652128,10011403756,"Michèle,  Hamburg, 22, youtuber",Active,_micheleschmidt,
12653540,10011405164,Dr. Robin Barrett  Pharm D.  NASM-CPT,Active,dr.robinb,dr.robinb
12653658,10011405282,Isabella Lafferty,Active,isabelladiannee,isabelladiannee
12655890,10011406358,Isabella + Doodles |,Active,murray_n_milly,murray_n_milly
12655935,10011406393,Dorese Bilal,Active,itsdoreseb,
12656455,10011406464,Blair Newman,Active,ttcbabynewman,blair_newman
12657300,10011406645,Jhania Capri Gaines,Active,jhaniacapri,jhaniacapri
12657333,10011406674,Mallory Kilmer,Active,mallorykil,mallorykil
12657351,10011406688,heather Ferreras-Tokan,Active,homewithmadigrace,
12659301,10011407444,Deko  Inspirationen - Homemade by Patricia (Mrs. Shabby Chic),Active,naturalhygge_by_patricia,
12659423,10011407567,Dasom Lee,Active,dasominnewyork,explorewithdasom
12659432,10011407575,BLOOM's  TV Deco & Lifestyle,Active,,
12659438,10011407582,Imke  Riedebusch,Active,,
12659442,10011407589,Sari  and Chris,Active,sarisgarage,
12659443,10011407590,Moin  Liz | YouTube & Twitch,Active,moinliz,
12659503,10011407649,𝐌𝐔𝐑𝐏𝐇𝐘,Active,madnesswithmurph,
12667069,10011415092,alyssa navarro rafael,Active,alyssarafael,alyssarafael
12670629,10011417957,Lisette John,Active,lisettejyoga,lisettejyoga
12684389,10011432430,Callie Richards • Plus Size Fashion + Travel,Active,hotpinkandglitter,hotpinkandglitter
12684497,10011432533,Tara Panasiuk,Active,the_magnolia_mercantile,themagnoliamercantile
12685032,10011433065,baileyyjanette,Active,baileyyjanette,baileyyjanette
12685813,10011433388,Max emerson,Active,maxisms,themaxisms
12688159,10011434646,Christi Lukasiak,Active,christilukasiak,christilukasiak0
12688553,10011435041,Melissa Andre,Active,melissaandre,melissaandre
12694372,10011439930,Girl Mom of 4 • Homeschool Mama,Active,raisingthejohnsongirls,
12694611,10011440171,Sierra Honeycutt | Content Creator,Active,sierra.honeycutt,sierra.honeycutt
12696000,10011440945,very_important,Active,very_important,
12696002,10011440948,Lilibeth,Active,lilibeth.cb,
12696003,10011440949,Nora,Active,norawunderwald,
12696853,10011441296,Shannon  Langdon,Active,shannonlangdon,
12696905,10011441338,Olivia  Rose,Active,oliviarose,oliviarosesmith_
12697128,10011441488,Natasha  Summar,Active,natashasummar,
12697254,10011441616,maryleest,Active,maryleest,mary_leest
12697286,10011441646,mellyescobar,Active,mellyescobar,melaniepalmerlozano
12697694,10011442049,Alyssa Lopez,Active,alooopezzz,alooopezzz
12697969,10011442323,Harriet James,Active,life.with.madison.evie,
12698210,10011442473,Samantha Gleave,Active,samanthapgleave,
12698641,10011442528,Sharday Lewis,Active,locsbysharday,
12700000,10011442862,Phaith montoya,Active,phaithmontoya,phaithmontoya
12700938,10011443149,Harry Gray,Active,luxurhomes_,
12701760,10011443413,Eric Wang,Active,im_ericwang,im_ericwang
12706870,10011448040,Ashley Vipond,Active,decthehousedesignstudio,
12711504,10011451641,Siva(Her) & Sharan(Him),Active,onroadwithsivasharan,
12712934,10011453218,Jessica Ann-marie Jivanjee,Active,mamaofwarriorsss,
12725648,10011466181,Cassie Yeung,Active,cassyeungmoney,cassyeungmoney
12725973,10011466372,CaLeigha Callahan & James Homan,Active,jamesandcaleigha,jamesandcaleigha
12740613,10011480981,Alenas  Momlife,Active,,
12740907,10011481115,Mia,Active,heylilahey,
12740919,10011481119,JANAklar,Active,_janaklar_,
12740934,10011481126,PiaKathrina,Active,,
12740959,10011481146,Sophiletta,Active,,
12740971,10011481153,AvetaHome,Active,,
12741814,10011481693,Ah  Nice,Active,aahnice,
